アルジェリア,あるしえりあ
アンゴラ,あんこら
ウガンダ,うかんた
エジプト,えしふと
エスワティニ,えすわていに
エチオピア,えちおひあ
エリトリア,えりとりあ
ガーナ,かーな
カーボヴェルデ,かーほう゛えるて
ガボン,かほん
カメルーン,かめるーん
ガンビア,かんひあ
ギニア,きにあ
ギニアビサウ,きにあひさう
ケニア,けにあ
コートジボワール,こーとしほわーる
コモロ,こもろ
コンゴ,こんこ
サントメ・プリンシペ,さんとめ・ふりんしへ
ザンビア,さんひあ
シエラレオネ,しえられおね
ジブチ,しふち
ジンバブエ,しんはふえ
スーダン,すーたん
赤道ギニア,せきとうきにあ
セーシェル,せーしえる
セネガル,せねかる
ソマリア,そまりあ
タンザニア,たんさにあ
チャド,ちやと
中央アフリカ,ちゆうおうあふりか
チュニジア,ちゆにしあ
トーゴ,とーこ
ナイジェリア,ないしえりあ
ナミビア,なみひあ
ニジェール,にしえーる
ブルキナファソ,ふるきなふあそ
ブルンジ,ふるんし
ベナン,へなん
ボツワナ,ほつわな
マダガスカル,またかすかる
マラウイ,まらうい
マリ,まり
南アフリカ,みなみあふりか
南スーダン,みなみすーたん
モザンビーク,もさんひーく
モーリシャス,もーりしやす
モーリタニア,もーりたにあ
モロッコ,もろっこ
リビア,りひあ
リベリア,りへりあ
ルワンダ,るわんた
レソト,れそと
インド,いんと
インドネシア,いんとねしあ
カンボジア,かんほしあ
シンガポール,しんかほーる
スリランカ,すりらんか
タイ,たい
大韓民国,たいかんみんこく
中華人民共和国,ちゆうかしんみんきようわこく
ネパール,ねはーる
パキスタン,はきすたん
バングラデシュ,はんくらてしゆ
東ティモール,ひかしていもーる
フィリピン,ふいりひん
ブータン,ふーたん
ブルネイ,ふるねい
ベトナム,へとなむ
マレーシア,まれーしあ
ミャンマー,みやんまー
モルディブ,もるていふ
モンゴル,もんこる
ラオス,らおす
アフガニスタン,あふかにすたん
アラブ首長国連邦,あらふしゆちようこくれんほう
イエメン,いえめん
イスラエル,いすらえる
イラク,いらく
イラン,いらん
オマーン,おまーん
カタール,かたーる
クウェート,くうえーと
サウジアラビア,さうしあらひあ
シリア,しりあ
トルコ,とるこ
バーレーン,はーれーん
ヨルダン,よるたん
レバノン,れはのん
アイスランド,あいすらんと
アイルランド,あいるらんと
アゼルバイジャン,あせるはいしやん
アルバニア,あるはにあ
アルメニア,あるめにあ
アンドラ,あんとら
イタリア,いたりあ
ウクライナ,うくらいな
ウズベキスタン,うすへきすたん
イギリス,いきりす
エストニア,えすとにあ
オーストリア,おーすとりあ
オランダ,おらんた
カザフスタン,かさふすたん
北マケドニア,きたまけとにあ
キプロス,きふろす
ギリシャ,きりしや
キルギス,きるきす
クロアチア,くろあちあ
コソボ,こそほ
サンマリノ,さんまりの
ジョージア,しよーしあ
スイス,すいす
スウェーデン,すうえーてん
スペイン,すへいん
スロバキア,すろはきあ
スロベニア,すろへにあ
セルビア,せるひあ
タジキスタン,たしきすたん
チェコ,ちえこ
デンマーク,てんまーく
ドイツ,といつ
トルクメニスタン,とるくめにすたん
ノルウェー,のるうえー
バチカン,はちかん
ハンガリー,はんかりー
フィンランド,ふいんらんと
フランス,ふらんす
ブルガリア,ふるかりあ
ベラルーシ,へらるーし
ベルギー,へるきー
ボスニア・ヘルツェゴビナ,ほすにあ・へるつえこひな
ポーランド,ほーらんと
ポルトガル,ほるとかる
マルタ,まるた
モナコ,もなこ
モルドバ,もるとは
モンテネグロ,もんてねくろ
ラトビア,らとひあ
リトアニア,りとあにあ
リヒテンシュタイン,りひてんしゆたいん
ルクセンブルク,るくせんふるく
ルーマニア,るーまにあ
ロシア,ろしあ
アルゼンチン,あるせんちん
アンティグア・バーブーダ,あんていくあ・はーふーた
ウルグアイ,うるくあい
エクアドル,えくあとる
エルサルバドル,えるさるはとる
ガイアナ,かいあな
キューバ,きゆーは
グアテマラ,くあてまら
グレナダ,くれなた
コスタリカ,こすたりか
コロンビア,ころんひあ
ジャマイカ,しやまいか
スリナム,すりなむ
セントクリストファー・ネーヴィス,せんとくりすとふあー・ねーう゛いす
セントビンセント及ひグレナディーン諸島,せんとひんせんとおよひくれなていーんしよとう
セントルシア,せんとるしあ
チリ,ちり
ドミニカ,とみにか
ドミニカ,とみにか
トリニダード・トバゴ,とりにたーと・とはこ
ニカラグア,にからくあ
ハイチ,はいち
パナマ,はなま
バハマ,ははま
パラグアイ,はらくあい
バルバドス,はるはとす
ブラジル,ふらしる
ベネズエラ,へねすえら
ベリーズ,へりーす
ペルー,へるー
ボリビア,ほりひあ
ホンジュラス,ほんしゆらす
メキシコ,めきしこ
アメリカ,あめりか
カナダ,かなた
オーストラリア,おーすとらりあ
キリバス,きりはす
クック諸島,くっくしよとう
サモア,さもあ
ソロモン諸島,そろもんしよとう
ツバル,つはる
トンガ,とんか
ナウル,なうる
ニウエ,にうえ
ニュージーランド,にゆーしーらんと
バヌアツ,はぬあつ
パプアニューギニア,はふあにゆーきにあ
パラオ,はらお
フィジー,ふいしー
マーシャル諸島,まーしやるしよとう
ミクロネシア,みくろねしあ
